,TCHWSChi,TZone_cor,TZone_eas,TZone_nor,TZone_set,TZone_sou,TZone_wes,T_oa,T_sa,dpCHWS,dpSA,ice_mode,power,soc
17972582.4,-3.076718933022562,24.837770764269635,25.210177155401425,25.0195651224127,30.0,25.242309197239877,25.351340408803424,22.8920044213624,10.965110876976325,999.9995490733418,-0.01305503339972347,2.0,10120.194106680969,0.22206845210330417
17972928.0,-3.0767189277022453,24.829290324782733,25.19961067517346,25.00869943822346,30.0,25.23182331991245,25.329403045386584,22.04351339354838,10.946573471687259,999.9995490733418,-0.013236755024990998,2.0,10120.194109888882,0.22549677883709
17973273.6,-3.07671892325169,24.820330036860184,25.18691972750429,24.993590057365623,30.0,25.218870653211013,25.304380184888316,21.188638947918946,10.929302304847226,999.9995490733418,-0.011811604417744093,2.0,10120.19411257261,0.22892510556548257
17973619.2,-3.0767189195794344,24.811922445856112,25.173251711327566,24.954811859516667,30.0,25.204536890624752,25.27889225038416,20.388487802212865,10.913302217628257,999.9995490733418,-0.0094830397865735,2.0,10120.19411478719,0.2323534322894388
17973964.8,-1.9284152926546767,24.803462928549777,25.159049776280995,24.896579071546284,30.0,25.189444112265903,25.25521867347601,19.70416667416646,10.8985311403614,999.9995490733418,-0.007684487442020327,2.0,6515.724728254077,0.23461698985894902
17974310.4,-2.7863637098565164,24.794539351837045,25.14462722661358,24.83518675152635,30.0,25.174105327222378,25.235627618171975,19.196782281494166,10.884947504834201,999.9995490733418,-0.007110502105206251,2.0,8180.731603716105,0.23763601564689366
17974656.0,-1.499988269317896,24.786468294738143,25.13103140141311,24.779173354825446,30.0,25.1596144632216,25.22280790430102,18.92744134193549,10.872504094704595,999.9995490733418,-0.007034900540020317,2.0,5861.780817334339,0.23943599554659267
17975001.6,-2.054341101323587,24.78024690779074,25.119830580948133,24.73705433128316,30.0,25.147562860086623,25.21775688765797,18.899999999999977,10.861167268565111,999.9995490733418,-0.007155664716265164,2.0,6730.504633674008,0.24166970461273093
17975347.2,-3.07671594172524,24.775051763198178,25.110758075866443,24.72263472489169,30.0,25.137941164595816,25.20634701113937,18.899999999999977,10.850911991934652,999.9995490733418,-0.0069048056757310405,2.0,10120.195910316646,0.24500639672609467
17975692.8,-2.2772980294415675,24.771000639037595,25.103151603844083,24.727385182237356,30.0,25.129938422935425,25.187940529729417,18.899999999999977,10.841706509424682,999.9995490733418,-0.0075040704978164285,2.0,7135.769398632746,0.24762383594308582
17976038.4,-3.076715617988384,24.7613269282391,25.09444960903221,24.77682721011263,30.0,25.121387705010477,25.16863826613792,18.899999999999977,10.833485595625632,999.9995490733418,-0.0134076477115741,2.0,10120.196105516256,0.2509805201873145
17976384.0,-3.076718891187795,24.74233726362803,25.08036263556255,24.833267664967593,30.0,25.108599947275422,25.149094035917244,18.899999999999977,10.826195943469827,999.9995490733418,-0.019120520999422297,2.0,10120.194131904758,0.2544088465862856
17976729.6,-1.0930284386559492,24.739683133134065,25.069763905377442,24.845982930077525,30.0,25.09746733217088,25.14245603778585,18.899999999999977,10.819893323983308,999.9995490733418,-0.012073077334207483,2.0,5350.448412872929,0.2558250294013938
17977075.2,-2.844585450633531,24.751780292728313,25.069776459786908,24.849762407849084,30.0,25.045528622490224,25.15553607865735,18.899999999999977,10.814606702829337,999.9995490733418,-0.006522121868329123,2.0,8310.834484374467,0.2588196333946353
17977420.8,-1.260834876870092,24.755419612407366,25.069417223491882,24.850519368190533,30.0,25.006363148646244,25.188282844914966,18.899999999999977,10.810235796907364,999.9995490733418,-0.007945485689560883,2.0,5548.322257451411,0.2603828405087088
17977766.4,-1.6648489875609016,24.751503996726285,25.06475049737253,24.848062651258772,30.0,24.98688675448477,25.21226711661768,18.899999999999977,10.806721991046288,999.9995490733418,-0.0111336675909115,2.0,6099.3890600838395,0.26219756791513105
17978112.0,-3.0767122301397762,24.74482873477757,25.05744836871736,24.84340125892186,30.0,24.97551981351387,25.20687202900541,18.899999999999977,10.804053732027228,999.9995490733418,-0.012418666432495229,2.0,10120.198148255864,0.26549932370125456
17978457.6,-0.20672171466270584,24.739973146349257,25.050342874735918,24.838161321033567,30.0,24.96809708673436,25.199564069636267,18.899999999999977,10.80220996935401,999.9995490733418,-0.012408329348545521,2.0,3740.941172287097,0.2660164952090404
17978803.2,-2.4325848719607848,24.73727412714709,25.044678840881204,24.833497247363425,30.0,24.962239218103946,25.193463034245724,18.899999999999977,10.801171415008923,999.9995490733418,-0.012293651219806634,2.0,7436.997140596694,0.268504623006903
