,TCHWSChi,TZone_cor,TZone_eas,TZone_nor,TZone_set,TZone_sou,TZone_wes,T_oa,T_sa,dpCHWS,dpSA,ice_mode,power,soc
17974140.0,-2.3633474763713287,24.79893917091072,25.151738344852436,24.86545657598089,30.0,25.181668200403628,25.24528709682891,19.446950975105622,10.891644991795587,999.9995490733418,-0.00739350876433235,2.0,7359.790713724126,0.23614746820976895
17974200.0,-2.512296854357117,24.797389938842546,25.149234429979632,24.854798187088587,30.0,25.179005216889138,25.24188587194975,19.358863406933732,10.889286721738792,999.9995490733418,-0.007293858532247003,2.0,7648.854407379482,0.23667160463128487
17974260.0,-2.661246232342905,24.79584070677437,25.146730515106828,24.844139798196284,30.0,25.176342233374648,25.238484647070596,19.27077583876184,10.886928451681998,999.9995490733418,-0.007194208300161655,2.0,7937.918101034838,0.23719574105280078
17974320.0,-2.750631058738532,24.794315155806572,25.14424956480254,24.833630823840565,30.0,25.173702803222447,25.235271515008975,19.18930058873034,10.884601854552901,999.9995490733418,-0.007108402061729339,2.0,8116.316304108971,0.23768601508854065
17974380.0,-2.527301989199133,24.79291393061578,25.141889178482998,24.823906275802152,30.0,25.171187028222295,25.233045870239696,19.142540008945545,10.882441540294275,999.9995490733418,-0.007095276789995586,2.0,7713.720681470644,0.2379985115989071
17974440.0,-2.3039729196597336,24.79151270542499,25.139528792163457,24.81418172776374,30.0,25.168671253222143,25.23082022547042,19.09577942916075,10.880281226035649,999.9995490733418,-0.007082151518261831,2.0,7311.125058832316,0.2383110081092735
17974500.0,-2.0806438501203344,24.7901114802342,25.13716840584392,24.804457179725322,30.0,25.166155478221995,25.22859458070114,19.04901884937596,10.878120911777023,999.9995490733418,-0.007069026246528077,2.0,6908.52943619399,0.23862350461963994
17974560.0,-1.8573147805809351,24.78871025504341,25.134808019524378,24.79473263168691,30.0,25.163639703221843,25.226368935931866,19.002258269591163,10.875960597518397,999.9995490733418,-0.007055900974794323,2.0,6505.933813555663,0.23893600113000638
17974620.0,-1.6339857110415357,24.78730902985262,25.132447633204837,24.785008083648496,30.0,25.16112392822169,25.224143291162587,18.955497689806368,10.87380028325977,999.9995490733418,-0.007042775703060569,2.0,6103.338190917335,0.23924849764037281
17974680.0,-1.5384849937625698,24.786036253977908,25.130253566658602,24.77624842263502,30.0,25.15877754633723,25.222457139256367,18.92553569318998,10.87171681511158,999.9995490733418,-0.0070432869411483955,2.0,5922.108860135445,0.23959111423174048
17974740.0,-1.6347268048742538,24.78495615207732,25.128308979772328,24.768936092158963,30.0,25.156685254126305,25.22158022664473,18.920771571326195,10.869748616129039,999.9995490733418,-0.007064252943968591,2.0,6072.928967138209,0.23997891094461005
17974800.0,-1.730968615985938,24.783876050176737,25.126364392886057,24.761623761682902,30.0,25.15459296191538,25.22070331403309,18.91600744946241,10.867780417146497,999.9995490733418,-0.007085218946788786,2.0,6223.749074140974,0.2403667076574796
17974860.0,-1.8272104270976222,24.78279594827615,25.124419805999786,24.754311431206844,30.0,25.15250066970446,25.219826401421454,18.911243327598626,10.865812218163956,999.9995490733418,-0.007106184949608982,2.0,6374.569181143738,0.24075450437034915
17974920.0,-1.9234522382093062,24.781715846375565,25.12247521911351,24.746999100730783,30.0,25.150408377493534,25.21894948880982,18.906479205734843,10.863844019181416,999.9995490733418,-0.007127150952429178,2.0,6525.389288146503,0.2411423010832187
17974980.0,-2.0196940493209903,24.780635744474978,25.12053063222724,24.739686770254725,30.0,25.14831608528261,25.218072576198182,18.901715083871057,10.861875820198875,999.9995490733418,-0.007148116955249373,2.0,6676.209395149267,0.24153009779608825
17975040.0,-2.1679383058077613,24.779669669502702,25.118822524827987,24.73545215279529,30.0,25.146493782809912,25.216489123600404,18.899999999999977,10.860027793383999,999.9995490733418,-0.007127791489540352,2.0,7107.136997729173,0.24204044818086648
17975100.0,-2.345433937821172,24.778767734677608,25.1172474371402,24.73294874890789,30.0,25.144823349564987,25.214508242260376,18.899999999999977,10.85824736341344,999.9995490733418,-0.007084239572781144,2.0,7695.625066588204,0.24261973500610073
17975160.0,-2.5229295698345826,24.777865799852517,25.115672349452414,24.730445345020495,30.0,25.143152916320062,25.21252736092035,18.899999999999977,10.856466933442881,999.9995490733418,-0.007040687656021935,2.0,8284.113135447236,0.243199021831335
17975220.0,-2.7004252018479935,24.776963865027422,25.114097261764627,24.727941941133096,30.0,25.14148248307514,25.210546479580323,18.899999999999977,10.854686503472324,999.9995490733418,-0.006997135739262726,2.0,8872.60120430627,0.24377830865656927
