,time,TOut.y,weaBus.TWetBul,weaBus.relHum,weaBus.HGloHor,uMod,uModActual.y,occSch.occupied,modCon.y,iceTan.SOC,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,priPum.m_flow,secPum.m_flow,senRelPre.p_rel,conAHU.TSupSet,conAHU.TSup,senSupFlo.V_flow,conVAVCor.damVal.VDisSet_flow,VSupCor_flow.V_flow,conVAVSou.damVal.VDisSet_flow,VSupSou_flow.V_flow,conVAVEas.damVal.VDisSet_flow,VSupEas_flow.V_flow,conVAVNor.damVal.VDisSet_flow,VSupNor_flow.V_flow,conVAVWes.damVal.VDisSet_flow,VSupWes_flow.V_flow,conAHU.TZonCooSet,conAHU.TZonHeaSet,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,ave.y,chi.P,priPum.P,secPum.P,fanSup.P,Tz_core_pred,Tz_east_pred,Tz_north_pred,Tz_south_pred,Tz_west_pred,Ptot_meas,P_pred,SOC_pred,Elec_rate
20995920.0,20995920.0,289.16999999999996,288.0866517145225,0.8939199999999999,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1352178294738,0.0008143373560642705,0.0,0.00045813119399225566,0.0,9.657942149999086e-05,0.0,9.171415481983348e-05,0.0,9.657942149999083e-05,0.0,7.133323152653712e-05,303.15,285.15,296.9806593431221,296.54882140079144,296.73839961661963,296.723943192503,296.73811606413267,296.7459879234338,0.0,0.0,0.0,-4.849800459741339e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995956.0,20995956.0,289.15599999999995,288.06854016140903,0.893482965,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13525891664915,0.0008141840601170874,0.0,0.0004580449530649573,0.0,9.656124090242979e-05,0.0,9.169689008461845e-05,0.0,9.656124090242985e-05,0.0,7.131980339914762e-05,303.15,285.15,296.97917904133715,296.5532577714664,296.7435891256367,296.7301220709017,296.74333492339076,296.7498965865465,0.0,0.0,0.0,-4.847974699642841e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20995992.0,20995992.0,289.142,288.0503295745085,0.89303612,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13529982748554,0.0008140224812366168,0.0,0.0004579540523034579,0.0,9.654207795724137e-05,0.0,9.167869248833436e-05,0.0,9.654207795724152e-05,0.0,7.130564971314892e-05,303.15,285.15,296.97819669753807,296.55773976815357,296.7487463707092,296.7362824543681,296.74852805746974,296.75389866964775,0.0,0.0,0.0,-4.846050662098286e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20996028.0,20996028.0,289.128,288.03202409009833,0.892579855,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1353405535918,0.0008138512221791659,0.0,0.0004578577056436361,0.0,9.652176695290207e-05,0.0,9.16594046673103e-05,0.0,9.652176695290248e-05,0.0,7.129064807457465e-05,303.15,285.15,296.977664866122,296.5622236143489,296.75384189512954,296.74237990763885,296.7536656449401,296.7579551856359,0.0,0.0,0.0,-4.8440117730397844e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20996064.0,20996064.0,289.114,288.01362783956665,0.89211456,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13538104626974,0.0008136628189646538,0.0,0.0004577517139849967,0.0,9.649942266984664e-05,0.0,9.163818599563379e-05,0.0,9.649942266984677e-05,0.0,7.127414466327071e-05,303.15,285.15,296.9775997560452,296.566667928184,296.758838795137,296.7483559620462,296.75871082009445,296.7620346523014,0.0,0.0,0.0,-4.841769274196222e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20996100.0,20996100.0,289.09999999999997,287.99514494954167,0.891640625,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13542129649517,0.0008134324846215332,0.0,0.000457622132631546,0.0,9.647210540283339e-05,0.0,9.161224485809943e-05,0.0,9.647210540283339e-05,0.0,7.125396822296622e-05,303.15,285.15,296.9778934214589,296.5710506436747,296.7637368683924,296.7541835867765,296.7636606039624,296.76610502485295,0.0,0.0,0.0,-4.839028390570956e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20996136.0,20996136.0,289.08599999999996,287.97657954201475,0.89115844,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13546136931086,0.000813166803994536,0.0,0.000457472666098802,0.0,9.644059610712229e-05,0.0,9.158232286871179e-05,0.0,9.644059610712207e-05,0.0,7.123069556455372e-05,303.15,285.15,296.97842287048803,296.5753835458093,296.7685629183832,296.7598978051998,296.7685400868286,296.7701614453418,0.0,0.0,0.0,-4.8358678656887087e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20996172.0,20996172.0,289.072,287.9579357344576,0.8906683950000001,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13550124882875,0.0008128318036825866,0.0,0.0004572842015734377,0.0,9.64008655778083e-05,0.0,9.154459379702995e-05,0.0,9.640086557780718e-05,0.0,7.120135073102358e-05,303.15,285.15,296.9791578864995,296.5796778718637,296.7733388468,296.76550188100106,296.7733690389683,296.7742091050265,0.0,0.0,0.0,-4.831884190459969e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20996208.0,20996208.0,289.058,287.9392176399324,0.89017088,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.13554090906155,0.0008124353273046941,0.0,0.00045706115172720755,0.0,9.635384405777877e-05,0.0,9.149994102420543e-05,0.0,9.635384405777992e-05,0.0,7.116662079660366e-05,303.15,285.15,296.9800912808546,296.58394491189694,296.7780799595106,296.7709952794783,296.7781603096865,296.7782543482854,0.0,0.0,0.0,-4.827171591508305e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
20996244.0,20996244.0,289.044,287.920429367196,0.889666285,0.0,0.0,0.0,0.0,1.0,0.5,283.15,283.15,293.15,293.15,0.0,0.0,0.0,294.15,293.1355803856395,0.0008119724247779563,0.0,0.0004568007317354521,0.0,9.629894447337954e-05,0.0,9.1447807050891e-05,0.0,9.629894447338289e-05,0.0,7.112607215069245e-05,303.15,285.15,296.9811640637056,296.58820396245414,296.78281276280654,296.7764096643581,296.7829386208634,296.78230581483757,0.0,0.0,0.0,-4.8216723484095054e-08,297.011860481158,296.8109945078375,296.82057163544334,296.80619042966043,296.6292714925953,0.0,0.0,0.5,0.064
