,occSch.occupied,modCon.y,senSupFlo.V_flow,TSup.T,conAHU.TSupSet,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,iceTan.SOC,TOut.y,weaBus.TWetBul,chi.on,iceTan.stoCon.y,chi.P,priPum.P,secPum.P,fanSup.P
18577560.0,0.0,1.0,0.0008059671797402781,293.1936491055226,294.15,283.15,283.15,293.15,293.15,297.2092736696693,297.2680897379595,297.1581396582367,297.1480473680623,297.18018447354325,0.5,299.3428894500561,297.3218740874444,0.0,1.0,0.0,0.0,0.0,-4.750614319345609e-08
18577620.0,0.0,1.0,0.0008056671141711924,293.19346998053277,294.15,283.15,283.15,293.15,293.15,297.2150707865899,297.27657145281216,297.1665872944665,297.1566703701173,297.1928651971436,0.5,299.3431875,297.32278578952474,0.0,1.0,0.0,0.0,0.0,-4.747077599152139e-08
18577680.0,0.0,1.0,0.0008053946144190078,293.19329221502784,294.15,283.15,283.15,293.15,293.15,297.22057283075475,297.2843445175435,297.17472159446976,297.1649176408142,297.2052080987719,0.5,299.34327048260377,297.3235665372624,0.0,1.0,0.0,0.0,0.0,-4.74386692424043e-08
18577740.0,0.0,1.0,0.0008051537730163293,293.19311664337033,294.15,283.15,283.15,293.15,293.15,297.2256302081674,297.29114470148943,297.1823150277241,297.17262688289003,297.2168548567222,0.5,299.3431413439955,297.3242133775545,0.0,1.0,0.0,0.0,0.0,-4.741030161788677e-08
18577800.0,0.0,1.0,0.0008049380181781263,293.192942798699,294.15,283.15,283.15,293.15,293.15,297.23036805162087,297.29731767796875,297.1894026405107,297.1800141325926,297.2278347982892,0.5,299.342803030303,297.32472335568383,0.0,1.0,0.0,0.0,0.0,-4.738489603099441e-08
18577860.0,0.0,1.0,0.0008047413272430079,293.19277052168763,294.15,283.15,283.15,293.15,293.15,297.23482018346897,297.30294161910973,297.1960471402693,297.18711296245726,297.238217234744,0.5,299.3422584876543,297.3250935157789,0.0,1.0,0.0,0.0,0.0,-4.736174119159146e-08
18577920.0,0.0,1.0,0.0008045698264898313,293.1925999710099,294.15,283.15,283.15,293.15,293.15,297.23898718784204,297.3080632238495,297.20223284243576,297.1939287144012,297.24787803909646,0.5,299.3415106621773,297.3253209012521,0.0,1.0,0.0,0.0,0.0,-4.7341556406486405e-08
18577980.0,0.0,1.0,0.0008044165961783838,293.1924314173654,294.15,283.15,283.15,293.15,293.15,297.2428452920709,297.3126679832155,297.2079630107799,297.20040885168913,297.256730567468,0.5,299.3405625,297.3254025552177,0.0,1.0,0.0,0.0,0.0,-4.7323525600058076e-08
18578040.0,0.0,1.0,0.000804281646832883,293.1922642663151,294.15,283.15,283.15,293.15,293.15,297.2465016615166,297.31695017294606,297.21342707286345,297.2066457450229,297.26501458797804,0.5,299.33941694725024,297.3253355208902,0.0,1.0,0.0,0.0,0.0,-4.730764878139262e-08
18578100.0,0.0,1.0,0.0008041559397672931,293.19209933337754,294.15,283.15,283.15,293.15,293.15,297.24985860108404,297.32077262979533,297.2185164314031,297.2125056567152,297.27248590401695,0.5,299.3380769500561,297.3251168419615,0.0,1.0,0.0,0.0,0.0,-4.729286171538447e-08
18578160.0,0.0,1.0,0.0008040412473648543,293.19193648450016,294.15,283.15,283.15,293.15,293.15,297.25295466423086,297.3242241838729,297.22336987341873,297.2180197865304,297.2792722186494,0.5,299.33654545454544,297.32474356295813,0.0,1.0,0.0,0.0,0.0,-4.7279372333050816e-08
18578220.0,0.0,1.0,0.0008039346029920471,293.19177556345176,294.15,283.15,283.15,293.15,293.15,297.2558316667117,297.3273696571162,297.2280041447636,297.2232258250117,297.2854855011894,0.5,299.3348254068462,297.32421272957805,0.0,1.0,0.0,0.0,0.0,-4.726683123438163e-08
18578280.0,0.0,1.0,0.0008038372360065898,293.1916167590739,294.15,283.15,283.15,293.15,293.15,297.2584982703624,297.3302249649343,297.23239995205364,297.22811408754296,297.291153280507,0.5,299.3329197530864,297.32352138900694,0.0,1.0,0.0,0.0,0.0,-4.7255382584626e-08
18578340.0,0.0,1.0,0.0008037453564921806,293.19145975767515,294.15,283.15,283.15,293.15,293.15,297.2609873754679,297.3328376364681,297.2365951019459,297.23273564654477,297.2963691543187,0.5,299.33083143939393,297.32266659021406,0.0,1.0,0.0,0.0,0.0,-4.724458043690734e-08
18578400.0,0.0,1.0,0.0008036633210465565,293.19130437994625,294.15,283.15,283.15,293.15,293.15,297.26333558670166,297.335259186768,297.240612975866,297.2371312105069,297.3012249550449,0.5,299.3285634118967,297.3216453842281,0.0,1.0,0.0,0.0,0.0,-4.723493668558993e-08
18578460.0,0.0,1.0,0.000803587978223401,293.1911515705783,294.15,283.15,283.15,293.15,293.15,297.26547814748676,297.3374058360226,297.24436253892253,297.2411922877714,297.30558066601475,0.5,299.32611861672274,297.3204548243926,0.0,1.0,0.0,0.0,0.0,-4.722608055869144e-08
18578520.0,0.0,1.0,0.000803521935985804,293.19100085758305,294.15,283.15,283.15,293.15,293.15,297.2674769464746,297.33936247239103,297.2479089411353,297.24500847406995,297.3095956900754,0.5,299.32349999999997,297.3190919666004,0.0,1.0,0.0,0.0,0.0,-4.721831834577798e-08
18578580.0,0.0,1.0,0.0008034633134748795,293.19085284322153,294.15,283.15,283.15,293.15,293.15,297.26930052436495,297.3410898162943,297.2512042728192,297.24852498639706,297.31320814883037,0.5,299.32071050785635,297.3175538695091,0.0,1.0,0.0,0.0,0.0,-4.721142873765681e-08
18578640.0,0.0,1.0,0.0008034118611304291,293.19070671948475,294.15,283.15,283.15,293.15,293.15,297.2710177167223,297.3426790732123,297.2543387822974,297.2518540799895,297.31658462664126,0.5,299.3177530864197,297.31583759473455,0.0,1.0,0.0,0.0,0.0,-4.720538221657762e-08
18578700.0,0.0,1.0,0.0008033670755194922,293.19056263355037,294.15,283.15,283.15,293.15,293.15,297.27262805178145,297.34413023925356,297.2573087453714,297.25499330622443,297.3197288076557,0.5,299.3146306818182,297.3139402070262,0.0,1.0,0.0,0.0,0.0,-4.7200119464036975e-08
18578760.0,0.0,1.0,0.0008033315093468442,293.1904210642384,294.15,283.15,283.15,293.15,293.15,297.27411911254643,297.34542747501223,297.26008956237837,297.25791688798756,297.32261772327513,0.5,299.31134624017955,297.3118587744197,0.0,1.0,0.0,0.0,0.0,-4.719594029456385e-08
18578820.0,0.0,1.0,0.0008033031278034155,293.19028173865354,294.15,283.15,283.15,293.15,293.15,297.27551436365053,297.346601383545,297.2627147641385,297.26066516548264,297.325306811491,0.5,299.30790270763185,297.30959036837214,0.0,1.0,0.0,0.0,0.0,-4.7192605479699455e-08
18578880.0,0.0,1.0,0.0008032825652665938,293.1901440356056,294.15,283.15,283.15,293.15,293.15,297.276847095125,297.3476944194781,297.2652351967726,297.26329650890676,297.32786473106336,0.5,299.304303030303,297.3071320638745,0.0,1.0,0.0,0.0,0.0,-4.7190189465409147e-08
18578940.0,0.0,1.0,0.0008032694273263054,293.19000937806976,294.15,283.15,283.15,293.15,293.15,297.27806794654396,297.3486435148755,297.2675681830652,297.2657196530999,297.3301968467697,0.5,299.30055015432094,297.30448093954607,0.0,1.0,0.0,0.0,0.0,-4.718864584114227e-08
18579000.0,0.0,1.0,0.0008032634739334431,293.1898762956801,294.15,283.15,283.15,293.15,293.15,297.27923921347326,297.3495284256592,297.26981465377787,297.26804787700456,297.3324289763802,0.5,299.2966470258137,297.3016340777074,0.0,1.0,0.0,0.0,0.0,-4.718794636022095e-08
18579060.0,0.0,1.0,0.0008032667541143899,293.1897467283421,294.15,283.15,283.15,293.15,293.15,297.28030597752615,297.35027832992716,297.2718783233721,297.27017649835904,297.3344570641295,0.5,299.29259659090906,297.298588564434,0.0,1.0,0.0,0.0,0.0,-4.718833174739347e-08
18579120.0,0.0,1.0,0.0008032763924554362,293.18961853460354,294.15,283.15,283.15,293.15,293.15,297.28133853834424,297.3509834564236,297.27387937508547,297.27223748628967,297.33641771294407,0.5,299.2884017957351,297.29534148958976,0.0,1.0,0.0,0.0,0.0,-4.7189464173676485e-08
18579180.0,0.0,1.0,0.0008032937216137098,293.1894934592542,294.15,283.15,283.15,293.15,293.15,297.2822941210485,297.35158826423316,297.27574091751194,297.27414804854806,297.3382317604978,0.5,299.28406558641973,297.29188994684057,0.0,1.0,0.0,0.0,0.0,-4.719150024735574e-08
18579240.0,0.0,1.0,0.0008033193607968298,293.1893706777338,294.15,283.15,283.15,293.15,293.15,297.2832014654457,297.35212959617627,297.27751189069835,297.2759617605468,297.33995413355746,0.5,299.27959090909087,297.2882310336477,0.0,1.0,0.0,0.0,0.0,-4.719451278337388e-08
18579300.0,0.0,1.0,0.0008033521923149477,293.1892505238784,294.15,283.15,283.15,293.15,293.15,297.284058279774,297.3526029675615,297.2791855621922,297.27767193250406,297.34158074368463,0.5,299.2749807098765,297.2843618512418,0.0,1.0,0.0,0.0,0.0,-4.7198370541752223e-08
18579360.0,0.0,1.0,0.0008033933384293138,293.1891330736651,294.15,283.15,283.15,293.15,293.15,297.2848689971879,297.3530146978156,297.28076940925155,297.27928701196527,297.343121663868,0.5,299.27023793490457,297.2802795045764,0.0,1.0,0.0,0.0,0.0,-4.720320550320386e-08
