,time,formatted_time,tesBed.TOut.y,tesBed.weaBus.TWetBul,tesBed.weaBus.relHum,tesBed.weaBus.HGloHor,tesBed.uMod,tesBed.uModActual.y,tesBed.occSch.occupied,tesBed.modCon.y,tesBed.iceTan.SOC,tesBed.chi.TSet,tesBed.iceTan.TOutSet,tesBed.TCHWSup.T,tesBed.TCHWRetCoi.T,tesBed.priPum.m_flow,tesBed.secPum.m_flow,tesBed.senRelPre.p_rel,tesBed.conAHU.TSupSet,tesBed.conAHU.TSup,tesBed.senSupFlo.V_flow,tesBed.conVAVCor.damVal.VDisSet_flow,tesBed.VSupCor_flow.V_flow,tesBed.conVAVSou.damVal.VDisSet_flow,tesBed.VSupSou_flow.V_flow,tesBed.conVAVEas.damVal.VDisSet_flow,tesBed.VSupEas_flow.V_flow,tesBed.conVAVNor.damVal.VDisSet_flow,tesBed.VSupNor_flow.V_flow,tesBed.conVAVWes.damVal.VDisSet_flow,tesBed.VSupWes_flow.V_flow,tesBed.conAHU.TZonCooSet,tesBed.conAHU.TZonHeaSet,tesBed.conVAVCor.TZon,tesBed.conVAVSou.TZon,tesBed.conVAVEas.TZon,tesBed.conVAVNor.TZon,tesBed.conVAVWes.TZon,tesBed.ave.y,tesBed.chi.P,tesBed.priPum.P,tesBed.secPum.P,tesBed.fanSup.P
259,18549900.0,08-03 16:45,304.0026,297.64597,0.596875,307.09732,-1.0,-1.0,1.0,5.0,0.78009367,268.15,273.15,271.2504,271.37384,3.9682539,0.14142399,928.95276,294.15,294.29227,0.000806424,0.0,0.00045369257,0.0,9.564371e-05,0.0,9.082558e-05,0.0,9.564371e-05,0.0,7.064212e-05,303.15,285.15,301.154,302.1206,301.8821,301.57303,302.2149,301.7889,6065.673,2257.8105,-0.00029310273,-4.756547e-08
260,18550800.0,08-03 17:00,303.75,297.65848,0.61,265.46188,-1.0,-1.0,1.0,5.0,0.7890906,268.15,273.15,271.2504,271.3676,3.9682539,0.14142399,928.95276,294.15,293.77618,0.00080614106,0.0,0.00045353133,0.0,9.560972e-05,0.0,9.0793306e-05,0.0,9.560972e-05,0.0,7.061701e-05,303.15,285.15,301.24084,302.18848,301.96417,301.65668,302.31686,301.8734,6065.3516,2257.8105,-0.00029310273,-4.7531437e-08
261,18551700.0,08-03 17:15,303.6962,297.6992,0.615,224.0955,-1.0,-1.0,1.0,5.0,0.7980874,268.15,273.15,271.2504,271.36755,3.9682539,0.14142399,928.95276,294.15,293.18045,0.0008073151,0.0,0.0004541901,0.0,9.57486e-05,0.0,9.092518e-05,0.0,9.57486e-05,0.0,7.071959e-05,303.15,285.15,301.25842,302.18353,301.9679,301.66956,302.3451,301.88492,6065.3506,2257.8105,-0.00029310273,-4.7669403e-08
262,18552600.0,08-03 17:30,303.75,297.83398,0.62,183.0,-1.0,-1.0,1.0,5.0,0.80708426,268.15,273.15,271.2504,271.3688,3.9682539,0.14142399,928.95276,294.15,292.5209,0.00081124465,0.0,0.0004563993,0.0,9.6214324e-05,0.0,9.1367445e-05,0.0,9.6214324e-05,0.0,7.106357e-05,303.15,285.15,301.2341,302.12988,301.9255,301.64124,302.32492,301.85114,6065.425,2257.8105,-0.00029310273,-4.813407e-08
263,18553500.0,08-03 17:45,303.8038,297.9687,0.625,142.68098,-1.0,-1.0,1.0,5.0,0.8160811,268.15,273.15,271.2504,271.3705,3.9682539,0.14142399,928.95276,294.15,291.81155,0.0008159171,0.0,0.00045902666,0.0,9.67682e-05,0.0,9.189342e-05,0.0,9.67682e-05,0.0,7.147266e-05,303.15,285.15,301.1919,302.0574,301.8659,301.59418,302.2781,301.7975,6065.523,2257.8105,-0.00029310273,-4.8689667e-08
264,18554400.0,08-03 18:00,303.75,298.0083,0.63,104.608734,-1.0,-1.0,1.0,5.0,0.825078,268.15,273.15,271.2504,271.37143,3.9682539,0.14142399,928.95276,294.15,291.06647,0.00081730343,0.0,0.00045980548,0.0,9.693238e-05,0.0,9.204933e-05,0.0,9.693238e-05,0.0,7.1593924e-05,303.15,285.15,301.1335,301.97226,301.79163,301.52945,302.2067,301.7267,6065.5723,2257.8105,-0.00029310273,-4.885486e-08
265,18555300.0,08-03 18:15,303.52304,297.8942,0.635,70.232124,-1.0,-1.0,1.0,5.0,0.83407485,268.15,273.15,271.2504,271.37088,3.9682539,0.14142399,928.95276,294.15,290.30014,0.0008166009,0.0,0.0004594093,0.0,9.684886e-05,0.0,9.197002e-05,0.0,9.684886e-05,0.0,7.153224e-05,303.15,285.15,301.05814,301.86966,301.70218,301.44498,302.11014,301.63702,6065.538,2257.8105,-0.00029310273,-4.877055e-08
266,18556200.0,08-03 18:30,303.18826,297.68335,0.64,41.0,-1.0,-1.0,1.0,5.0,0.8430717,268.15,273.15,271.2504,271.36942,3.9682539,0.14142399,928.95276,294.15,289.52322,0.0008157082,0.0,0.00045890623,0.0,9.6742806e-05,0.0,9.186931e-05,0.0,9.6742806e-05,0.0,7.1453906e-05,303.15,285.15,300.9678,301.753,301.5991,301.34,301.9926,301.53052,6065.453,2257.8105,-0.00029310273,-4.866365e-08
267,18557100.0,08-03 18:45,302.83435,297.45398,0.645,19.86923,-1.0,-1.0,1.0,5.0,0.8520686,268.15,273.15,271.2504,271.36765,3.9682539,0.14142399,928.95276,294.15,288.7439,0.00081480265,0.0,0.00045839613,0.0,9.6635275e-05,0.0,9.176719e-05,0.0,9.6635275e-05,0.0,7.137448e-05,303.15,285.15,300.86542,301.62708,301.48514,301.217,301.86475,301.4119,6065.352,2257.8105,-0.00029310273,-4.8555396e-08
268,18558000.0,08-03 19:00,302.55,297.28497,0.65,7.4115386,-1.0,-1.0,1.0,5.0,0.86106545,268.15,273.15,271.2504,271.3662,3.9682539,0.14142399,928.95276,294.15,287.96893,0.0008140698,0.0,0.00045798326,0.0,9.654823e-05,0.0,9.168454e-05,0.0,9.654823e-05,0.0,7.13102e-05,303.15,285.15,300.75375,301.49677,301.364,301.07587,301.73016,301.28412,6065.2695,2257.8105,-0.00029310273,-4.8467854e-08
269,18558900.0,08-03 19:15,302.47266,297.20834,0.64953125,1.4980769,-1.0,-1.0,0.0,5.0,0.8700623,268.15,273.15,271.2504,271.36542,3.9682539,0.14142399,928.95276,294.15,287.20358,0.00081360183,0.0,0.0004577195,0.0,9.649263e-05,0.0,9.163174e-05,0.0,9.649263e-05,0.0,7.1269125e-05,303.15,285.15,300.69766,301.42786,301.29895,300.99155,301.64886,301.21298,6065.2256,2257.8105,-0.00029310273,-4.8411934e-08
270,18559800.0,08-03 19:30,302.56375,297.19275,0.64375,0.0,-1.0,-1.0,0.0,5.0,0.8790592,268.15,273.15,271.2504,271.36514,3.9682539,0.14142399,928.95276,294.15,286.45187,0.00081326935,0.0,0.000457532,0.0,9.645311e-05,0.0,9.15942e-05,0.0,9.645311e-05,0.0,7.1239934e-05,303.15,285.15,300.6763,301.39752,301.26807,300.95618,301.60278,301.18018,6065.21,2257.8105,-0.00029310273,-4.8372186e-08
